,statistic,pvalue
"('Optifast Mock-Chatbot', 'NFW_FW')",14.820767658069972,1.5759480305445233e-11
"('Optifast Mock-Chatbot', 'NN_NVA')",1.960069124545898,0.06565529773747332
"('Optifast Mock-Chatbot', 'NN_NV')",1.7730527081297132,0.09314181705210314
"('Optifast Mock-Chatbot', 'NN_NNA')",3.88888418955054,0.0010757364489401367
"('Optifast Mock-Chatbot', 'NN_NNAV')",6.701932861541691,2.7651687516456213e-06
"('Optifast Mock-Chatbot', 'NN_FW')",10.888810570331046,2.3718506514088685e-09
"('Optifast Mock-Chatbot', 'NVA_NV')",-0.05768458919141697,0.9546354164130375
"('Optifast Mock-Chatbot', 'NVA_NNA')",1.896820327398778,0.07401628442258244
"('Optifast Mock-Chatbot', 'NVA_NNAV')",4.608568860157602,0.00021810153495125978
"('Optifast Mock-Chatbot', 'NVA_FW')",9.023993362300425,4.233043267259797e-08
"('Optifast Mock-Chatbot', 'NV_NNA')",1.8242473779107464,0.08476085189852423
"('Optifast Mock-Chatbot', 'NV_NNAV')",4.316723191054177,0.0004154093192411447
"('Optifast Mock-Chatbot', 'NV_FW')",8.509461613097148,1.0062173302072414e-07
"('Optifast Mock-Chatbot', 'NNA_NNAV')",2.664416689042545,0.015799739919754183
"('Optifast Mock-Chatbot', 'NNA_FW')",7.364075603925822,7.808579530230467e-07
"('Optifast Mock-Chatbot', 'NNAV_FW')",5.2589685113138485,5.3187741186403374e-05
